% Model,2016_04_06_SiwHoles_dispersion.mph
% Version,COMSOL 5.1.0.180
% Date,"Apr 8 2016, 11:48"
% Dimension,3
% Nodes,1276
% Expressions,25
% Description,Velocity magnitude
% Length unit,m
% X,Y,Z,solid.vel (m/s) @ Eigenfrequency=1,solid.vel (m/s) @ Eigenfrequency=2,solid.vel (m/s) @ Eigenfrequency=3,solid.vel (m/s) @ Eigenfrequency=4,solid.vel (m/s) @ Eigenfrequency=5,solid.vel (m/s) @ Eigenfrequency=6,solid.vel (m/s) @ Eigenfrequency=7,solid.vel (m/s) @ Eigenfrequency=8,solid.vel (m/s) @ Eigenfrequency=9,solid.vel (m/s) @ Eigenfrequency=10,solid.vel (m/s) @ Eigenfrequency=11,solid.vel (m/s) @ Eigenfrequency=12,solid.vel (m/s) @ Eigenfrequency=13,solid.vel (m/s) @ Eigenfrequency=14,solid.vel (m/s) @ Eigenfrequency=15,solid.vel (m/s) @ Eigenfrequency=16,solid.vel (m/s) @ Eigenfrequency=17,solid.vel (m/s) @ Eigenfrequency=18,solid.vel (m/s) @ Eigenfrequency=19,solid.vel (m/s) @ Eigenfrequency=20,solid.vel (m/s) @ Eigenfrequency=21,solid.vel (m/s) @ Eigenfrequency=22,solid.vel (m/s) @ Eigenfrequency=23,solid.vel (m/s) @ Eigenfrequency=24,solid.vel (m/s) @ Eigenfrequency=25
0,0,1.459943973015488E-7,8.194462823714974E9,8.590390538142813E8,1.1319726692481804E10,3.7090028007539064E8,1.9819216657903534E10,4.146625525547604E8,3.0530330029585785E10,9.345268459458138E7,5.140982707707055E10,6.514292498533872E9,1.158640477580602E9,7.974505790780301E8,5.276592922396899E10,7.981509661308285E9,6.832671198958309E7,2.023061526749933E9,3.294932522475777E9,5.643882662173676E10,4.037013190390004E8,3.337239395460099E8,4.0782551108487372E9,2.4861339382157177E8,1.355543993698637E9,2.24048070506808E10,8.161197802166129E10
5.3846975487430874E-8,0,1.1100653932084106E-7,8.117661723282024E9,8.835049240521083E8,1.129661686786392E10,4.255782856363799E8,1.9579827524629456E10,8.466788350495142E8,3.017344785148384E10,2.9966032263994086E8,5.0525798748548134E10,6.5887997502674055E9,9.989075600386205E8,6.819778673617394E8,4.6960808014605995E10,4.847463903845039E9,1.6841527074340218E8,1.5031281076161344E9,3.4664623355418797E9,5.2545894942034676E10,5.1340829382954794E8,5.51140733028815E8,3.8601191563013897E9,5.135833722904815E8,1.1980211032837393E9,3.608204221022474E10,6.873430619258008E10
4.718747600968212E-8,5.578983286812704E-8,8.286091764900953E-8,8.141987203602689E9,8.834096150125432E8,1.1295911203558617E10,4.2169136459142965E8,1.967342759526562E10,1.4489363452150621E9,2.8213960015532764E10,5.2525346318623614E8,4.946200892009998E10,6.431110732211076E9,9.739037158780465E8,8.115251342555331E8,4.5761979505838715E10,1.150193249561219E10,3.394959410991973E8,1.2214177377424328E9,3.2777065080603404E9,5.02809579278933E10,8.646021197292727E8,8.274203285273099E8,3.1138002810560613E9,8.59135650250362E8,1.4199141095447683E9,2.843905652411034E10,6.393094722482812E10
0,7.822560393911048E-8,0,8.0983908945078E9,8.556868041270436E8,1.1385268772256622E10,3.9343230697480446E8,1.9352154165351322E10,2.381733748054275E9,2.615317391448557E10,6.898696774490156E8,5.0588754867160225E10,6.359898282894566E9,9.852845417271309E8,1.0543328503391834E9,4.0527960676746765E10,2.7941288043675472E10,6.456884745313243E8,1.0721328709921197E9,2.599574461014237E9,4.871782257981558E10,1.1688121550045977E9,1.076062186023905E9,3.6064941948047204E9,8.387165591371899E8,1.7369430615956652E9,3.1339377100795994E10,5.611276642108558E10
0,6.034066155708159E-8,1.780854862094802E-7,8.233798998494889E9,8.647589426974565E8,1.1270755361257826E10,3.7376358072596544E8,2.0070822602280155E10,9.441408242879542E8,2.855438979403023E10,2.4336059031245562E8,4.9058488032035286E10,6.262819059560136E9,1.1121273849902325E9,8.471086495363925E8,5.101843898524061E10,9.900718504457579E9,2.837957322204233E8,1.7544715951372874E9,3.1796444988899584E9,5.270099178228795E10,7.268255871944778E8,3.643904515261835E8,3.157396268958194E9,6.239617510564097E8,9.487692818341395E8,6.922107432392745E9,7.284623723297878E10
0,0,2.937168374793001E-7,8.14389931454819E9,8.549803283320819E8,1.1376073593655754E10,3.767829210646443E8,1.9530446492369892E10,1.281746521945753E9,2.9485707830013096E10,2.946179968394795E8,5.237566208505613E10,6.5979168437714815E9,1.1200443384247475E9,8.678004228842945E8,5.034577145382264E10,1.2742698925623743E10,1.3955280853593123E8,1.7510871297268696E9,3.15995417814628E9,5.58876111044632E10,7.454175267860347E8,8.34272258014762E8,3.869916192439755E9,5.344026608409481E8,1.8437170490761077E9,3.4851513878485016E10,7.864496450447664E10
0,5.681508850119221E-8,2.542140796297582E-7,8.207576215117417E9,8.623473073725134E8,1.1300976942179638E10,3.763533879282083E8,1.991453478621549E10,1.1761037639130895E9,2.8488551062828373E10,3.0124349144390666E8,4.976250738487928E10,6.326826145983079E9,1.1056947254790094E9,8.674889839637604E8,5.036574018674122E10,1.2386941428035175E10,3.320796392851215E8,1.6900706657074761E9,3.1384357583256803E9,5.284582912587776E10,8.025878864295652E8,7.247006293451755E8,3.2595648563721476E9,7.538226794922465E8,1.4411871043205755E9,1.3748027417089754E10,7.181892188078065E10
0,5.119583588081797E-8,3.14285785533925E-7,8.1450316251814375E9,8.569388546844636E8,1.1365852136038578E10,3.822767236835795E8,1.9557879984322746E10,1.687035186045235E9,2.7911827419844135E10,4.2857893146258104E8,5.1228124990801956E10,6.458823893547907E9,1.072375586855392E9,9.279915484731187E8,4.765286417006346E10,1.7649217112725334E10,3.640789289620317E8,1.4808841153292086E9,2.988683621059959E9,5.2927662286385826E10,9.524083296888217E8,9.748861659933337E8,3.331910986614347E9,7.91752863861037E8,1.8268948687704098E9,2.92532935553559E10,6.986973882972726E10
0,0,3.66E-7,8.035967888972474E9,8.460585302759672E8,1.147067162093765E10,3.8703332917393917E8,1.898616076620746E10,2.255281956531223E9,2.684123152170366E10,5.349480908734181E8,5.410241012719413E10,6.745894578942612E9,1.0131673792835581E9,1.0003053896648248E9,4.2594591098432465E10,2.1842576889047318E10,3.1901501250822596E7,1.2525781923556502E9,2.7603456872996144E9,5.523017728448217E10,1.0140132464221315E9,8.017910658933126E8,3.0055673905037646E9,2.5105467096090055E8,1.6146449373333445E9,5.8506282013861885E10,7.586822738640799E10
5.2023808049586435E-8,0,3.1407611970437303E-7,8.068537516910691E9,8.757587135197495E8,1.1362351553044613E10,4.293348200104371E8,1.9275878135673492E10,1.5939121618624966E9,2.891165168636352E10,5.642137226534421E8,5.156292534614685E10,6.674877896480266E9,9.882254390554053E8,7.550774094236145E8,4.528475686167089E10,1.0279965071597187E10,2.1573745087989995E8,1.2146609102659602E9,3.257849435277595E9,5.215040090177198E10,7.748001598469498E8,8.29640791815344E8,3.5044483261006618E9,6.581179332841281E8,1.6056019740610926E9,4.984846541541652E10,6.828905803831323E10
