% Model,2016_04_06_SiwHoles_dispersion.mph
% Version,COMSOL 5.1.0.180
% Date,"Apr 8 2016, 11:48"
% Dimension,3
% Nodes,1276
% Expressions,25
% Description,Velocity magnitude
% Length unit,m
% X,Y,Z,solid.vel (m/s) @ Eigenfrequency=1,solid.vel (m/s) @ Eigenfrequency=2,solid.vel (m/s) @ Eigenfrequency=3,solid.vel (m/s) @ Eigenfrequency=4,solid.vel (m/s) @ Eigenfrequency=5,solid.vel (m/s) @ Eigenfrequency=6,solid.vel (m/s) @ Eigenfrequency=7,solid.vel (m/s) @ Eigenfrequency=8,solid.vel (m/s) @ Eigenfrequency=9,solid.vel (m/s) @ Eigenfrequency=10,solid.vel (m/s) @ Eigenfrequency=11,solid.vel (m/s) @ Eigenfrequency=12,solid.vel (m/s) @ Eigenfrequency=13,solid.vel (m/s) @ Eigenfrequency=14,solid.vel (m/s) @ Eigenfrequency=15,solid.vel (m/s) @ Eigenfrequency=16,solid.vel (m/s) @ Eigenfrequency=17,solid.vel (m/s) @ Eigenfrequency=18,solid.vel (m/s) @ Eigenfrequency=19,solid.vel (m/s) @ Eigenfrequency=20,solid.vel (m/s) @ Eigenfrequency=21,solid.vel (m/s) @ Eigenfrequency=22,solid.vel (m/s) @ Eigenfrequency=23,solid.vel (m/s) @ Eigenfrequency=24,solid.vel (m/s) @ Eigenfrequency=25
5.499999999999999E-7,1.25E-7,2.2015161916670044E-7,7.338204677460812E8,8.588555782782559E7,4.725640267515094E9,2.7319676128062254E8,1.925619092815019E9,9.851415594320906E8,2.5899089077652063E9,1.1275716056952436E9,3.076543330440617E9,4.725207809109363E8,7.002203052436446E7,1.0208950482885861E9,3.0103782856151433E9,8.42296235044369E10,2.3223879053390887E8,2.925064481362787E9,7.38355901180308E7,1.912230939586658E10,9.419771760474263E7,1.6634747571153371E9,5.360611738335666E8,4.0353908288315773E8,6.053630407274114E8,2.6193780750248627E10,2.3555882659589447E10
5.440387740083018E-7,9.12724013221063E-8,3.269697896411193E-7,3.0184524186362767E9,3.5828435388921744E8,3.1940367878869877E9,1.794059383502647E8,3.5831998644374614E9,1.3435672065047307E9,1.1946860613240915E10,1.5209688678135526E9,5.953212032478959E9,9.300039313286685E8,6.091752515956295E7,6.079486274866555E8,2.195620273858166E10,5.50440659804735E10,2.479786500200229E8,1.995437012359496E9,9.530135809693031E8,8.478995212045442E9,1.2275277197544982E8,2.4122523747014575E9,1.745342223497494E9,6.818873076344063E8,1.6545482669878273E9,4.502222368907689E10,7.184194364196802E10
5.499999999999999E-7,1.25E-7,2.940420169581579E-7,2.2388965732230773E9,2.629975626312937E8,4.745303758505257E9,2.7495812091546077E8,3.1255136042002954E9,1.294663677628639E9,8.470311428260828E9,1.469158960721743E9,5.365021706915993E9,8.290298769362993E8,8.546597230812635E7,1.036369339469581E9,1.1807693743805456E10,8.513835388639407E10,5.400413593973049E8,2.9486032922124476E9,3.7100993492499727E8,1.9753832630718693E10,1.2636701109494129E8,2.416455462481724E9,1.4190861445492096E9,6.359290905937043E8,1.5459014465401149E9,4.274154886186121E10,5.685847154937785E10
6.075572030326984E-7,6.609322890068619E-8,2.0511791309181697E-7,1.494534149668164E9,1.850213714735227E8,3.441477208226862E9,1.9825272312080327E8,4.008910853271972E9,3.146009156772774E8,8.434115360269105E9,4.48299027273864E8,7.78507890199709E9,1.144105206536044E9,1.4761973739555123E8,8.271440785164925E8,2.8099475845496098E10,6.403200291890623E10,3.655372981870528E8,2.1082287748016262E9,1.6314234159054978E9,2.283400931204547E10,5.704683395434906E7,1.0012320304443282E9,1.088261709610222E9,2.394517502393417E8,3.76756286259921E8,4.589108915626038E10,5.123525599383326E10
6.615775941905331E-7,0,2.1704350553834764E-7,2.845033568085835E9,3.5167829163386023E8,5.020337315698974E9,3.0158502715644205E8,7.259870107347478E9,6.07377387067833E7,1.5596668546917427E10,1.437016834920929E8,1.1968084602702482E10,1.8284590188987248E9,1.690220011961453E8,1.2683821054352584E9,4.396228591134686E10,8.790219686163795E10,2.338725237089181E8,2.760350745333599E9,2.4951128881735525E9,3.1934492221651546E10,7.67273221919986E7,6.331643599693669E8,1.7643292185943143E9,4.894150701828656E7,5.2599306858950835E8,7.148370230556566E10,8.467206484572264E10
5.82465129710063E-7,6.652402635030457E-8,2.841465629658928E-7,2.180796042170922E9,2.579158590239861E8,2.6940869188740616E9,1.4969634486753222E8,3.2332989579882197E9,6.9630250698741E8,8.792513992024633E9,8.941602860359088E8,6.013605244088855E9,8.999007513139037E8,1.2021738897220455E8,5.733215308270172E8,2.056425480317315E10,4.915027978646034E10,3.88301663269615E8,1.6811268222174504E9,1.073484079456689E9,1.5749561609926592E10,8.037299392918563E7,2.0239377991672058E9,1.3879461101224618E9,4.891097694652314E8,1.3583635112272542E9,3.780569104013638E10,6.29891864067649E10
6.275727156330522E-7,0,2.897449255069541E-7,2.8524847390638304E9,3.4272004974115103E8,3.650458006643684E9,2.20724942151577E8,5.52013338739119E9,3.601153294754558E8,1.3012630656038664E10,5.892778082965097E8,8.580866418331304E9,1.3253443449980528E9,1.5726855613015726E8,9.913709425863489E8,3.554789309379539E10,6.823314256268839E10,5.647399284148265E8,2.0874339872692301E9,2.0048437181878092E9,2.7826323274586163E10,8.294520141281815E7,1.9446126461460354E9,1.7730078270527267E9,3.3539079257458407E8,1.394539695906118E9,4.564076398376941E10,7.990757560893277E10
5.9289148166827E-7,0,3.66E-7,4.082843492789933E9,4.8957140669701385E8,2.141720780193804E9,1.2856849377296808E8,4.893905459273019E9,9.440999067229921E8,1.7015474153091509E10,1.2681658001525981E9,7.149341796535333E9,1.1314825403858516E9,1.0885294984444521E8,6.27010554271721E8,3.979124803797168E10,4.317667004087081E10,6.326338437351571E8,1.2680084992263944E9,2.0497038780819745E9,2.047795466480985E10,7.445392915212522E7,3.0595081434375377E9,2.172560958203577E9,7.693464120766963E8,1.59719851258148E9,3.8223084314414185E10,8.52170678507989E10
5.915951680156374E-7,7.411503817905036E-8,3.66E-7,4.062121203229882E9,4.8664098276183474E8,3.1323685032855453E9,1.7654989153837016E8,4.999255770959152E9,1.010856649526045E9,1.7003028963839771E10,1.3723820672545273E9,7.960833514674621E9,1.2333381142348688E9,1.181257848039553E8,7.25883218189372E8,3.8897727405395065E10,5.7813151719624344E10,7.451592445928792E8,1.9440628449070168E9,1.9998460303815305E9,2.1535211496085968E10,1.3085568522438766E8,3.369482758567859E9,2.196033816171103E9,8.710608349402541E8,1.6468632239470994E9,4.420347089634118E10,7.999262359105122E10
5.499999999999999E-7,1.2499999999999994E-7,3.66E-7,3.943350473287438E9,4.715327906245421E8,4.569358233134017E9,2.6030368340851787E8,4.551398052454095E9,1.6844922200355284E9,1.6598937290568693E10,1.9456566177323358E9,7.862597983817147E9,1.2110845477723272E9,6.191998502725287E7,9.323053935675061E8,3.436253048489973E10,8.004549369834612E10,3.210162992991197E8,2.8233587120236773E9,1.648802811996585E9,1.626641133493619E10,1.589231303993E8,3.2479085000709915E9,2.314302130921314E9,9.474784905392944E8,1.7239684157396426E9,5.6068460623592514E10,7.554298558162563E10
8.291669450264668E-8,5.554798126632091E-7,3.239710220361093E-7,9.535086326845947E9,1.123269795030093E9,1.06543258983316E10,2.2905894304665768E8,3.1597085884115463E10,1.3524020921356268E9,5.4638731634696045E10,3.574048480437644E8,8.92365957059065E10,9.530038132341616E9,2.214545756631665E9,1.4935021976600957E9,9.106753573507801E9,8.10105662458576E10,1.26772333405711E9,6.0750710512794075E9,2.3184043580951796E9,5.001147403575267E10,7.268407057534251E8,2.379533136060394E9,6.64102428419392E9,3.7475095900210184E8,2.1830608508641667E9,1.1995760503704466E11,8.518992575745012E10
6.614503137777188E-8,5.753009393542588E-7,7.563594918878342E-8,9.549158028072813E9,1.1123826706577685E9,1.066711812482327E10,2.5591380203168768E8,3.1476548102007072E10,1.0584440165917408E9,5.486165503337672E10,3.2538588555140704E8,8.696814791117433E10,9.256206197476255E9,1.8325466873545835E9,1.4269590547557917E9,9.31691695370294E9,8.47134291288716E10,1.0080012707397335E9,6.335821780183791E9,1.7380071135014522E9,5.221559632528483E10,6.198559225885412E8,1.82330498435404E9,6.613914868742771E9,5.001913306670881E8,1.943120152097422E9,1.0611764385692075E11,9.817742695317621E10
1.25E-7,5.499999999999998E-7,7.195798304184318E-8,9.584342285634705E9,1.1560971542929444E9,1.06869789777104E10,1.562103027733807E8,3.142922717415699E10,8.960743880148754E8,5.6509902692743576E10,8.805528904598732E7,8.573495678199292E10,9.136733624617767E9,2.4253036261485014E9,1.9853642889002337E9,9.114491219246477E9,8.658161124161217E10,1.332067830979519E9,6.319889774053862E9,2.422701601950705E9,4.9769682807065796E10,6.538628744474516E8,2.4780094210809317E9,6.328633076966018E9,2.9983377529169023E8,1.578691823967913E9,1.0594274210620445E11,1.090534782492302E11
9.260776418832521E-8,5.482605062236561E-7,3.63206852793445E-8,9.534114975548443E9,1.1298567668716009E9,1.0654506488999254E10,2.1500178603301618E8,3.1606576864729618E10,1.4165481014332082E9,5.4625901688250694E10,3.5967964452468014E8,8.945115570810268E10,9.562238948007614E9,2.3402397091620984E9,1.5730038130786273E9,8.907300671878845E9,8.043177050545752E10,1.4157034553207278E9,6.009687895298873E9,2.4814314754680567E9,4.9077969628613045E10,7.606728237291623E8,2.568484032511349E9,6.52003207394666E9,3.344848143325773E8,2.1745464161886945E9,1.2263039057773027E11,8.53960384587468E10
0,6.275104556521773E-7,7.407473060887118E-8,9.463472328291504E9,1.0565584087588582E9,1.062529065183013E10,3.4748613997537297E8,3.059510770592712E10,1.6610177382966306E9,5.048963945575887E10,5.468279766676217E8,7.608949315609756E10,7.989102954141328E9,1.2189890618110576E9,1.167305593459686E9,8.241602467380511E9,8.030644811416795E10,1.3725842405380101E9,5.949712620586366E9,1.2455861646403942E9,5.173402248907023E10,7.9846382734873E8,2.3415323606208186E9,5.583857724711035E9,1.0155329460733663E9,1.8928841136359599E9,6.071953422217199E10,6.353086756721054E10
7.061311223062326E-8,5.897507413188899E-7,0,9.455875715235062E9,1.1065465432873137E9,1.0607782128060215E10,2.685701137068261E8,3.139776906869322E10,2.1141129564864924E9,5.177066165829345E10,7.651969201700972E8,8.831216855804933E10,9.436165404771925E9,2.372184470080512E9,1.3434437278010905E9,8.685256669070698E9,7.248654460398099E10,1.6334670256163983E9,5.514869408716522E9,2.6625628037390127E9,4.675267498140373E10,8.604775562384111E8,2.8847579009749837E9,6.334716401514928E9,4.469587270748376E8,2.5071402886997557E9,1.1727409439353352E11,5.295109105848925E10
1.25E-7,5.499999999999999E-7,0,9.51228430862726E9,1.1508863715112114E9,1.0635691180808104E10,1.629318253192818E8,3.1635540824057716E10,1.9587604500569003E9,5.373852551758961E10,4.972289499804182E8,9.094133174513934E10,9.758278935953234E9,2.8795248584599314E9,1.811293465156505E9,7.643669636604143E9,7.494025224431291E10,1.9149036315562627E9,5.542502861919624E9,3.2363117133180842E9,4.474368701101208E10,9.390801835599649E8,3.448700409570687E9,5.865941689735064E9,4.977994983521383E7,2.3155241511670566E9,1.38550945065994E11,8.052481474098717E10
5.984623868550819E-8,6.31901093694704E-7,0,9.384111722903399E9,1.0884754520116599E9,1.0577789311947634E10,3.209426039301792E8,3.0474298794869514E10,2.272503936286403E9,4.96675946010505E10,9.675060046429551E8,7.680716099189879E10,8.108257346170647E9,2.159095228577069E9,1.4648313257878897E9,9.07054961979326E9,7.068260767587883E10,1.799502385382296E9,5.389369522427007E9,2.351059337718078E9,4.613745439107636E10,8.869898449334966E8,3.1985607032765145E9,6.156911961352556E9,8.703201663368666E8,2.2178558458885617E9,6.936297977247528E10,3.7825503746602196E10
0,6.786744450048099E-7,0,9.257233399907103E9,1.0313111215129327E9,1.0536693656898802E10,3.919605112645963E8,2.899735676754789E10,2.441300384245293E9,4.594858878681944E10,9.773182016406442E8,5.832830214953314E10,5.984256379077477E9,1.6554242314584177E9,1.3925430026913264E9,1.0869847147400604E10,6.876231305370842E10,2.221509294587375E9,5.092129330175792E9,1.6015556448277113E9,4.50169705185035E10,8.771713995763795E8,3.777224115010059E9,5.836547368091163E9,1.5508829289896894E9,1.707810395577906E9,6.360999323926611E8,2.7618168408393093E10
0,5.9289148166827E-7,3.66E-7,9.432669327305893E9,1.0571513426695529E9,1.0582517256975931E10,3.206023659213409E8,3.1340498114088257E10,2.120685102344727E9,5.114304807068078E10,6.815104468348848E8,8.774149000402904E10,9.344018010653395E9,1.9350069811969333E9,9.053088534164445E8,1.0591332889202837E10,7.163094561864635E10,1.698913668020103E9,5.392093645270354E9,2.2730869776826434E9,4.942070132703871E10,7.62660942797107E8,2.9648003701070776E9,7.110154068602266E9,6.153734867934376E8,2.905356993872361E9,1.1206928018084584E11,3.307866824669827E10
0,6.435470431773876E-7,2.888542976248214E-7,9.430777864923399E9,1.0514151344850974E9,1.061777186066284E10,3.6008352323853785E8,3.0189998431414425E10,1.8526486603224523E9,4.855200478421363E10,6.12563000462312E8,7.08685922372146E10,7.389764164644731E9,1.145544335690235E9,1.2510926339944153E9,7.212124476539692E9,7.894904424027054E10,1.490102713846175E9,5.840282597063811E9,1.1475382006826017E9,5.048716752140102E10,8.795044925646431E8,2.5463341031224236E9,4.753964199691344E9,1.1109457671389976E9,1.6195817712008007E9,4.0553152535511604E10,5.319201041435527E10
6.361191678614956E-8,6.082540138296453E-7,3.1874788065583014E-7,9.48606791845232E9,1.1028319705193734E9,1.0635187714315409E10,2.8607502134997475E8,3.1003513090588634E10,1.6398996776388934E9,5.228557554718006E10,6.325331873482691E8,8.191630843438583E10,8.678688151898441E9,1.9216334739088242E9,1.4480562213966024E9,8.553591045807159E9,7.91243782403784E10,1.2974519687322757E9,5.963092420928802E9,1.9414462780450215E9,4.972003720713163E10,8.13700172642716E8,2.3877657667372217E9,5.947208944972642E9,7.355634012419816E8,2.012625116400222E9,8.824263383552982E10,6.614235545930298E10
7.076638750920898E-8,5.817963087118082E-7,2.6842119087467687E-7,9.557753700992155E9,1.115596772662135E9,1.068123394105408E10,2.55814104737424E8,3.1416400338959217E10,9.474685155615479E8,5.49414489856647E10,3.2930934773655134E8,8.568970842889891E10,9.103554030908699E9,1.7385499795227659E9,1.5010751595233812E9,9.244076861671724E9,8.682942212206573E10,7.98039036979021E8,6.472477437898426E9,1.5208584138661616E9,5.2523507145234406E10,5.727634898847295E8,1.5213977903440933E9,6.343971634542859E9,4.950766233235009E8,1.6811160292126315E9,9.919844262994408E10,1.0858579797942772E11
1.2500000000000002E-7,5.500000000000001E-7,2.9404201695815923E-7,9.584034965829165E9,1.156052906122484E9,1.0687644857022062E10,1.567103023897886E8,3.1431441477690426E10,8.958622086609534E8,5.650571203879015E10,8.884700871110202E7,8.575280001539125E10,9.136586297812103E9,2.4251712746527405E9,1.9832720941350248E9,9.138210134053646E9,8.661031604337495E10,1.2790944050851345E9,6.32021067619085E9,2.424693403191815E9,4.9795816063604195E10,6.552266362763062E8,2.470113613812843E9,6.3366699352436285E9,3.02112826024499E8,1.5836285971440923E9,1.0598711541608849E11,1.0903421990061633E11
0,6.125605364090918E-7,2.1780440512278933E-7,9.522532529356215E9,1.0628750969436055E9,1.066616408709705E10,3.393767700748645E8,3.0980509132836613E10,1.2248734833873484E9,5.238001584062304E10,3.6540748141580963E8,7.9677013696879E10,8.3841882523102865E9,7.942915220228925E8,1.1397359927449057E9,8.581462880945477E9,8.679619617495566E10,8.807260886541677E8,6.398257769888453E9,4.2464941930473256E8,5.43699422608099E10,6.38479228462064E8,1.4471373279552038E9,5.714719195231018E9,6.148699064065958E8,1.5419627435120823E9,6.999985749053099E10,1.1228575717539398E11
6.850788795218985E-8,5.781264771764211E-7,1.920674837565703E-7,9.581578394749115E9,1.11587129050433E9,1.0703690617945707E10,2.5770933406232962E8,3.1489996318606335E10,5.901246275466272E8,5.554853856275391E10,2.4386295981998798E8,8.572346063457863E10,9.097968323716116E9,1.483204702256882E9,1.5217729969348907E9,9.370936753295626E9,9.101233174899706E10,2.5481260979890242E8,6.750497948849896E9,9.49774964817921E8,5.3991023240662346E10,3.457821883725386E8,4.1109406631182104E8,6.198609769037141E9,2.3258148208867005E8,1.2178099280272372E9,9.537677544561774E10,1.3512886191920544E11
1.2500000000000002E-7,5.499999999999999E-7,2.2015161916670076E-7,9.619401529690594E9,1.1582891162200055E9,1.0721541260936771E10,1.615215394449439E8,3.1417819206675114E10,2.5511638667935053E8,5.739728861653739E10,3097770.6606099447,8.41961778356642E10,8.944032838507143E9,2.134473861770377E9,2.0516812448486378E9,9.367164570340908E9,9.287769166535843E10,4.20008243056646E8,6.735516566657868E9,1.850948176077864E9,5.160669237193469E10,2.9591724876163477E8,8.616008685162886E8,6.156914700285294E9,1.56476936261313E8,8.156290826345499E8,9.211393827073817E10,1.2760500266236522E11
1.25E-7,5.499999999999999E-7,1.458483808333061E-7,9.619006911731184E9,1.1582318508243463E9,1.0722049420753422E10,1.6162632305529118E8,3.1425753450708843E10,2.5513085921368662E8,5.738406763520057E10,1538500.849676201,8.42909677827477E10,8.95532610528453E9,2.1343159874526217E9,2.0520056120250933E9,9.367527220551693E9,9.289601544147997E10,4.783361108305169E8,6.737087472252351E9,1.8507715277776105E9,5.155852519623417E10,2.947074199870805E8,8.732088400953821E8,6.147273404118942E9,1.5384576145496076E8,8.116826397645924E8,9.251717253244052E10,1.2821308338835304E11
6.701466205185779E-8,6.107826023106673E-7,1.391887224903212E-7,9.531454942074554E9,1.107765318092243E9,1.0687005550892128E10,2.861744339109593E8,3.1003087038051357E10,1.269030413924096E9,5.2809683234319176E10,5.194983228754476E8,8.000899152035695E10,8.440835417847871E9,1.4575570502576978E9,1.5595172343061533E9,8.090278001402221E9,8.702334716744653E10,6.737417797115229E8,6.474074676125165E9,1.0030912168907245E9,5.169161639527895E10,7.406322588868045E8,1.1152913315927572E9,5.229213191359069E9,5.414443055700955E8,1.1850508910970075E9,7.51513706768025E10,1.101071378920049E11
6.257653278321922E-8,6.331909881314875E-7,3.66E-7,9.381400423213655E9,1.0898140838067932E9,1.0578165307804153E10,3.2102440950518435E8,3.0429732913624916E10,2.28196272132254E9,4.9644882471340935E10,9.856887585902902E8,7.624142701468895E10,8.04131782532422E9,2.171190037152477E9,1.4874686075911448E9,9.13610009131874E9,7.055551114782565E10,1.776137270376263E9,5.387129967648391E9,2.3622437181288915E9,4.5971764693567024E10,8.815413802486222E8,3.2129133643145595E9,6.140666248994201E9,8.731624826733683E8,2.193850189075637E9,6.727743286742374E10,3.9487317695591606E10
1.25E-7,5.499999999999999E-7,3.6599999999999997E-7,9.512377323311964E9,1.150895928184475E9,1.0635689910367186E10,1.6306943045973945E8,3.163279358614673E10,1.9578587473415277E9,5.374117113838591E10,4.975438157988414E8,9.088748424170213E10,9.748599294474836E9,2.87807051675055E9,1.8097653396554544E9,7.662270614558898E9,7.495966180801501E10,1.866755155646402E9,5.551996410161172E9,3.234586074862171E9,4.487699774725359E10,9.40934159101576E8,3.440007989621555E9,5.876664263888925E9,5.206109209800231E7,2.315855983299104E9,1.381299519857698E11,8.04845278093348E10
7.408964451501067E-8,5.904779860187917E-7,3.66E-7,9.456497840640654E9,1.1089055108681448E9,1.0610203330454523E10,2.665264121882532E8,3.1389872642172478E10,2.1154583608568645E9,5.1783215025986465E10,7.733467310231214E8,8.81857210912079E10,9.419388938382795E9,2.3943911900801177E9,1.3688827977542093E9,8.674529330230028E9,7.256984477822462E10,1.5889674520686092E9,5.530083499930509E9,2.6829230260625577E9,4.662050326431827E10,8.59940887411268E8,2.879186959320026E9,6.282685131311217E9,4.532973515010204E8,2.489420014054606E9,1.169780866802705E11,5.413369683194262E10
0,6.623167103085981E-7,1.463961290229792E-7,9.411688628823336E9,1.0459341131943111E9,1.0639022840327374E10,3.7337724107082045E8,2.973769995676524E10,2.021855758437557E9,4.536379824779906E10,5.969965841651028E8,6.3930241253308716E10,6.583727059138749E9,6.458284777675002E8,1.3578126074895742E9,4.2691521217238007E9,8.001014530771242E10,1.3984397461576636E9,5.84404138551758E9,3.9908159587432903E8,4.903982139816101E10,1.0752958379526427E9,2.2486607875151143E9,3.074103822275363E9,8.471227628390816E8,8.633075328375238E8,1.1386990898665392E10,7.18539922226587E10
6.408728114680136E-7,6.741132670720235E-8,1.5532534199280498E-7,2.360122909607395E9,2.9311771522795063E8,4.652552782002853E9,2.7392821034972715E8,6.267458061784663E9,2.0437420440926126E8,1.2929113773982615E10,3.702867455948861E8,1.1484834278625265E10,1.7121778590163412E9,1.8143294825443885E8,1.1477904657996411E9,4.011546559991814E10,8.367089941727731E10,5.540534293222905E8,2.7137430053071775E9,2.3204068980266075E9,2.9858558871778507E10,3.3981093968193404E7,1.0768205393950808E9,1.4176164748974004E9,2.625479093706528E8,4.729522793430595E8,6.709449235907337E10,6.894546718285107E10
6.951546292287845E-7,0,1.4869409749365533E-7,3.617744218648449E9,4.462001675608832E8,6.263273361599906E9,3.708642659431916E8,9.223123853804537E9,1.2250842370445816E7,1.9315208254795048E10,1.0277880317157161E8,1.5271436932699125E10,2.3316516517702017E9,1.6458898512575072E8,1.4341746621814897E9,4.920245464006226E10,9.98102257932461E10,2.469678304894522E8,3.171741474993504E9,2.7250314184689417E9,3.2433729082452938E10,1.1573256338759796E8,6.09707522764347E8,1.9539421895874798E9,1.7762227974948533E7,5.3234785009714025E8,8.861197004512782E10,9.441633344929689E10
6.60650497098137E-7,6.697833514931218E-8,1.056272435151966E-7,3.1329593707998853E9,3.834263629606798E8,5.395782613706298E9,3.192029041351568E8,7.62105221271982E9,1.8257150931125823E8,1.5695934516371384E10,4.321637209110102E8,1.321389423967027E10,1.9881171322923756E9,2.0169458395540994E8,1.3099693253353546E9,4.550678511048142E10,9.310967046950131E10,8.326089636671258E8,2.992571253981751E9,2.62422703066213E9,3.2860359065676765E10,5.624098994279806E7,1.7303785608609107E9,1.7269797926724722E9,3.323709655223711E8,1.1610906374803467E9,7.245312291332422E10,7.923880313175365E10
7.303085120134546E-7,0,7.408639975830751E-8,4.680857991571909E9,5.663560654994762E8,7.478198664440554E9,4.3418674271521103E8,1.105298397797952E10,1.0558456806281048E8,2.229688436523853E10,1.976849625667142E8,1.777118959037988E10,2.7107424925867596E9,1.8932205640787363E8,1.4993391131584425E9,5.0306910714855095E10,1.040970134975093E11,9.108959206266187E8,3.2938809901137223E9,2.7530713729774923E9,3.003267984285802E10,2.785033514886227E8,1.6594296209204519E9,2.1409463840761101E9,1.6369319809932086E8,1.5498692743219366E9,9.090959273287718E10,9.136026075063518E10
7.276202722480691E-7,3.5239611904775125E-8,1.5080593049456662E-7,4.331863595909425E9,5.32557662149808E8,7.3452028238685255E9,4.2472241133114654E8,1.1067135882015759E10,4.28045202075129E7,2.2172279461046654E10,9.341448355278672E7,1.9162146162688927E10,2.8869004577846684E9,1.5119868102234754E8,1.4701244944253352E9,5.04198126413579E10,1.0404894107106908E11,4.829568609420621E8,3.380688360310949E9,2.6988332015437837E9,2.925907439300812E10,1.3812359808685517E8,6.227860809134232E8,1.9211048415824344E9,2.2413277584710267E8,5.197964645095405E8,1.031574029494834E11,9.601173918059776E10
6.027700996722134E-7,1.2828882326812265E-7,5.0665994903446986E-8,2.9590332186812034E9,3.514415176321288E8,5.230442786961622E9,2.9949132670781577E8,5.23117172915809E9,8.7042065671303E8,1.245636356292813E10,1.2087073012720912E9,1.0313308259939238E10,1.5191360525693233E9,1.844043584425791E8,1.1373569011772351E9,3.1302960825266666E10,9.144374889027243E10,1.0607505663877183E9,3.121016222000953E9,1.7728621842556798E9,2.581071342082404E10,1.1203591253472418E8,3.2215385147277913E9,1.822292229370773E9,7.929378145571539E8,1.7787824665156603E9,5.785317502287389E10,6.319530044456735E10
6.786744450048097E-7,0,0,4.75582250319156E9,5.680295475541588E8,6.038994056905403E9,3.668718007797885E8,8.593510121442291E9,1.6076096448789802E8,1.9582188688039616E10,6.390713747052454E8,1.0594533583450699E10,1.7083680896415734E9,1.8924097799968866E8,1.5279580300639012E9,4.486384696191114E10,1.0057504967592238E11,1.4934954681174016E9,3.0284265804094043E9,2.472390766622334E9,3.818812450216958E10,3.069780155887175E8,3.040813636306981E9,2.0553729056662927E9,4.205188902168407E8,1.888443468092058E9,3.7143415914329185E10,8.633657119376735E10
6.494279498506574E-7,6.175720247423345E-8,4.912330244386899E-8,3.600859012365793E9,4.324828474093924E8,5.027128778743132E9,3.00179414042594E8,7.152905886928818E9,3.144937668327691E8,1.5908740110054874E10,6.724472752144012E8,1.1193046584422024E10,1.7168610637905924E9,1.9488867328310916E8,1.276055154848382E9,4.265605966997074E10,8.909690701558813E10,1.0719508944650667E9,2.8045443096231136E9,2.434308929247048E9,3.347900358183056E10,1.1820170837479097E8,2.6238793870192647E9,1.9403602593409343E9,4.742121109766416E8,1.6807494322668955E9,5.36981868399067E10,8.01772694516614E10
6.091688901548003E-7,1.2913892739070147E-7,1.0825081749043773E-7,2.09894662458867E9,2.5412066460059074E8,5.310554891090409E9,3.02493909089255E8,5.103502576905107E9,6.47601345638344E8,1.0078208792200748E10,9.292732517550138E8,1.0994575592300722E10,1.5913590141643772E9,1.9114060028506288E8,1.1246453434855692E9,3.2678329154935383E10,9.146146142620628E10,9.101591263758429E8,3.1416898768507237E9,1.940764354199477E9,2.481293945443454E10,9.164234727706291E7,2.47299134060207E9,1.3280937842023053E9,5.57737440229895E8,1.222957682857416E9,6.353695258258016E10,5.23230209424569E10
6.327462680903398E-7,5.962417790144347E-8,0,4.322327743584002E9,5.175047104284483E8,4.474395826465195E9,2.6977522330551964E8,6.633304284897614E9,5.603781613682824E8,1.7876737331305267E10,1.0010032177774278E9,9.15735699335324E9,1.445057813571646E9,1.6437665288190392E8,1.209095300584847E9,4.218219968922768E10,8.30296785003845E10,1.2527673291595771E9,2.564582838216026E9,2.268205452661114E9,3.381019194660999E10,1.5758187135788125E8,3.406873337633652E9,2.1023959054441378E9,7.235121106866093E8,1.756937617698011E9,3.6501439079252266E10,8.055238471859435E10
7.644574083413495E-7,0,0,5.740041673775722E9,6.790138293054136E8,8.669505180550905E9,4.943720794930915E8,1.2355470507132036E10,3.96317715173708E8,2.3025585778691624E10,1.3425598437651217E8,1.9289074844626377E10,2.914785706325125E9,3.047083927896163E8,1.4960207616394694E9,4.823427575699603E10,1.0189335568631447E11,1.708470928264159E9,3.159722916209862E9,2.8423703942378707E9,2.5797397630622593E10,5.406081116524314E8,2.1508323976888022E9,1.7848119603978212E9,1.5274403461505625E8,2.1767608284340787E9,8.487388440689598E10,7.158508800647368E10
7.469363055841035E-7,6.432566522592394E-8,0,5.55642252174394E9,6.601143356491815E8,8.3806932118372965E9,4.819056104764003E8,1.1992341669383837E10,3.803459284550573E8,2.185526738926856E10,2.035777399327034E8,1.9214157809748196E10,2.852462047708961E9,3.243763588078095E8,1.5554501474857538E9,5.016397230657728E10,1.0541023978555983E11,1.9095980081527445E9,3.33144488667753E9,2.9769481852256246E9,3.073994776639929E10,4.232417512069066E8,2.3760279709442334E9,1.8854073304898326E9,4.542626443142478E8,2.1968189230344477E9,7.8706727651113E10,7.106342561022922E10
6.783278024560281E-7,7.617303518200071E-8,0,4.755452232493583E9,5.684220737697275E8,6.411053761677543E9,3.839543802212557E8,8.990085943250761E9,1.368996773530802E8,1.91836148290459E10,6.423391341701726E8,1.271314950993462E10,1.9663621402735238E9,2.3993159228188893E8,1.569948436109401E9,4.6795594217364006E10,1.0597904407729552E11,1.7572104685407336E9,3.3231493341978927E9,2.671526373603967E9,3.9121391221004585E10,2.236466858495007E8,3.2502922915609283E9,1.947706826658812E9,5.339878425352364E8,1.988067266223185E9,4.819349495035424E10,7.462824502845055E10
